"Submit_ID","Brand_Reg","Model_No","SoldIn","Screen_Tech","Avg_mode_power","Star2","ScreenSize_Category"
157699,"KOGAN","KAQL65XQ98GST","Australia,Fiji,New Zealand","LCD (LED)",195.5,2.5,"55 inch"
157732,"LINSAR","LS50UHDNF23","Australia,Fiji,New Zealand","LCD (LED)",57.06,6,"50 inch"
157736,"JVC","LT40N5115A11E","Australia","LCD (LED)",54.48,4.5,"43 inch"
157749,"EKO","K320HGT","Australia,Fiji,New Zealand","LCD (LED)",31.626,5,"32 inch"
157752,"BLAUPUNKT","BP320HSG9800","Australia,Fiji,New Zealand","LCD (LED)",31.626,5,"32 inch"
157754,"LINSAR","LS55UHDNF23","Australia,Fiji,New Zealand","LCD (LED)",69.65,6,"50 inch"
157755,"LINSAR","LS60UHDNF23","Australia,Fiji,New Zealand","LCD",85.97,6,"55 inch"
157756,"LINSAR","LS65UHDNF23","Australia,Fiji,New Zealand","LCD (LED)",95.92,6,"55 inch"
157757,"LINSAR","LS70UHDNF23","Australia,Fiji,New Zealand","LCD (LED)",99.18,6,"65 inch"
157771,"EKO","K400FGT","Australia,Fiji,New Zealand","LCD (LED)",46.5216,5,"43 inch"
157772,"BLAUPUNKT","BP400FSG9800","Australia,Fiji,New Zealand","LCD (LED)",46.5216,5,"43 inch"
157773,"JVC","AVH437115A11N","Australia","LCD",57.474,5,"43 inch"
157776,"JVC","AVH323115A11N","Australia","LCD",29.22,5.5,"32 inch"
157788,"KOGAN","KAQL75W94QA","Australia,Fiji,New Zealand","LCD (LED)",187.1,4,"65 inch"
157789,"KOGAN","KAQL65W94QA","Australia,Fiji,New Zealand","LCD (LED)",150.64,4,"55 inch"
157838,"JVC","LT55NQ7145AN","Australia","LCD",97.36,4.5,"50 inch"
157956,"JVC","LT43N5135AN","Australia","LCD",53.26,5,"43 inch"
157958,"SONY","K50S30","Australia,New Zealand","LCD (LED)",83.3,4.5,"50 inch"
157965,"JVC","LT50NQ7145AN","Australia","LCD",110.72,3,"50 inch"
157967,"KOGAN","KAQL55W94QA","Australia,Fiji,New Zealand","LCD (LED)",111.7,4,"50 inch"
157994,"SAMSUNG ELECTRONICS","QA75QN90DAW","Australia,Fiji,New Zealand","LCD (LED)",157,5,"65 inch"
157994,"SAMSUNG ELECTRONICS","QA75QN90DAS","Australia,Fiji,New Zealand","LCD (LED)",157,5,"65 inch"
157994,"SAMSUNG ELECTRONICS","QA75QN90DA","Australia,Fiji,New Zealand","LCD (LED)",157,5,"65 inch"
158053,"BAUHN","ATV24HDW0224","Australia,Fiji,New Zealand","LCD",15.1,6,"22 inch"
158063,"KOGAN","KAL24DH5300QA","Australia,Fiji,New Zealand","LCD (LED)",25.23,4.5,"22 inch"
158082,"KOGAN","KAQL50W94QA","Australia,Fiji,New Zealand","LCD (LED)",101.23,3.5,"50 inch"
157859,"BAUHN","ATV55UHDW0124","Australia,Fiji,New Zealand","LCD (LED)",73.991,6,"50 inch"
158097,"EKO","K420FAT","Australia,Fiji,New Zealand","LCD (LED)",53.38,4,"43 inch"
157758,"BAUHN","ATV40UHDW0124","Australia,Fiji,New Zealand","LCD (LED)",51.2,5,"43 inch"
157758,"BAUHN","ATV40UHDW0324","Australia,Fiji,New Zealand","LCD (LED)",51.2,5,"43 inch"
157758,"BAUHN","ATV40UHDW","Australia,Fiji,New Zealand","LCD (LED)",51.2,5,"43 inch"
158143,"SYLVOX","BT24A1KEGB","Australia,Fiji,New Zealand","LCD (LED)",17.14,6,"22 inch"
158143,"SYLVOX","BT24A0KEGB","Australia,Fiji,New Zealand","LCD (LED)",17.14,6,"22 inch"
158143,"SYLVOX","BT24A0KOGB","Australia,Fiji,New Zealand","LCD (LED)",17.14,6,"22 inch"
158143,"SYLVOX","BT24A1KOGB","Australia,Fiji,New Zealand","LCD (LED)",17.14,6,"22 inch"
158143,"SYLVOX","BT24A2KOGB","Australia,Fiji,New Zealand","LCD (LED)",17.14,6,"22 inch"
158143,"SYLVOX","BT24A3KOGB","Australia,Fiji,New Zealand","LCD (LED)",17.14,6,"22 inch"
158143,"SYLVOX","BT24A4KOGB","Australia,Fiji,New Zealand","LCD (LED)",17.14,6,"22 inch"
158143,"SYLVOX","BT24A5KOGB","Australia,Fiji,New Zealand","LCD (LED)",17.14,6,"22 inch"
158143,"SYLVOX","BT24A6KOGB","Australia,Fiji,New Zealand","LCD (LED)",17.14,6,"22 inch"
158143,"SYLVOX","BT24A7KOGB","Australia,Fiji,New Zealand","LCD (LED)",17.14,6,"22 inch"
158147,"KOGAN","KAQL98XQ98GSTA","Australia,Fiji,New Zealand","LCD (LED)",297.5,4,"75 inch+"
158147,"KOGAN","KAQL98XQ98GSTB","Australia,Fiji,New Zealand","LCD (LED)",297.5,4,"75 inch+"
158147,"KOGAN","KAQL98XQ98GSTC","Australia,Fiji,New Zealand","LCD (LED)",297.5,4,"75 inch+"
158147,"KOGAN","KAQL98XQ98GSTD","Australia,Fiji,New Zealand","LCD (LED)",297.5,4,"75 inch+"
158147,"KOGAN","KAQL98XQ98GSTE","Australia,Fiji,New Zealand","LCD (LED)",297.5,4,"75 inch+"
158147,"KOGAN","KAQL98XQ98GST","Australia,Fiji,New Zealand","LCD (LED)",297.5,4,"75 inch+"
158162,"SAMSUNG ELECTRONICS","QA65QN800DW","Australia,Fiji,New Zealand","LCD (LED)",262,1.5,"55 inch"
158162,"SAMSUNG ELECTRONICS","QA65QN800DS","Australia,Fiji,New Zealand","LCD (LED)",262,1.5,"55 inch"
158162,"SAMSUNG ELECTRONICS","QA65QN800D","Australia,Fiji,New Zealand","LCD (LED)",262,1.5,"55 inch"
158163,"SAMSUNG ELECTRONICS","QA75QN800DW","Australia,Fiji,New Zealand","LCD (LED)",269,2.5,"65 inch"
158163,"SAMSUNG ELECTRONICS","QA75QN800DS","Australia,Fiji,New Zealand","LCD (LED)",269,2.5,"65 inch"
158163,"SAMSUNG ELECTRONICS","QA75QN800D","Australia,Fiji,New Zealand","LCD (LED)",269,2.5,"65 inch"
158165,"SAMSUNG ELECTRONICS","QA85QN90DAW","Australia,Fiji,New Zealand","LCD (LED)",211,5,"75 inch+"
158165,"SAMSUNG ELECTRONICS","QA85QN90DAS","Australia,Fiji,New Zealand","LCD (LED)",211,5,"75 inch+"
158165,"SAMSUNG ELECTRONICS","QA85QN90DA","Australia,Fiji,New Zealand","LCD (LED)",211,5,"75 inch+"
